830,Weekly Forecast,SenderID:,ZZ:F159B,ReceiverID:,ZZ:GUEUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interchange Control Num,Message Release Num,Message Release Date,Message Purpose,Schedule Type,Horizon Start Date,Horizon End Date,Comment Note,Ship To GSDB Code,Ship From GSDB Code,Intermediate Consignee,Part Num,Purchase Order Num,Part Release Status,Dock Code,Line Feed,Reserve Line Feed,Contact Name,Contact Telephone,Fab Auth Qty,Fab Auth Start Date,Fab Auth End Date,Mat Auth Qty,Mat Auth Start Date,Mat Auth End Date,Last Received ASN Num,Last Shipped Qty,Last Shipped Date,Cum Shipped Qty,Cum Start Date,Cum End Date,Forecast Cum Qty,Forecast Net Qty,UOM,Forecast Status,Forecast Date,Flexible Forcast Start Date,Flexible Forcast End Date,Forecast Date Qual'r
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,C04-01-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,11592,840,EA,P,20250421,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,L05-11-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,12600,1008,EA,P,20250428,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,LO6-01-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,13440,840,EA,P,20250505,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,LO6-02-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,14616,1176,EA,P,20250512,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,LO6-03-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,15456,840,EA,P,20250519,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,LO6-04-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,16464,1008,EA,P,20250526,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,LO6-05-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,17472,1008,EA,P,20250602,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,M02-12-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,18480,1008,EA,P,20250609,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,M03-01-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,19488,1008,EA,P,20250616,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,M03-02-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,20328,840,EA,P,20250623,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,M03-03-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,21168,840,EA,P,20250630,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,M03-04-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,22008,840,EA,P,20250707,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N03-11-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,22848,840,EA,P,20250714,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N04-11-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,23856,1008,EA,P,20250721,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N04-12-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,24696,840,EA,P,20250728,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-01-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,25704,1008,EA,P,20250804,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-03-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,26544,840,EA,P,20250811,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-03-R  ,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,27384,840,EA,P,20250818,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-04-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,28224,840,EA,P,20250825,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-05-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,29232,1008,EA,P,20250901,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-06-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,30240,1008,EA,P,20250908,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-07-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,31080,840,EA,P,20250915,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-08-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,32088,1008,EA,P,20250922,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-09-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,32592,504,EA,P,20250929,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-10-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,32592,0,EA,P,20251006,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N05-11-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,32592,0,EA,P,20251013,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-01-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,32592,0,EA,P,20251020,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-01-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,32592,0,EA,P,20251027,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-02-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,33264,672,EA,P,20251103,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-03-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,34104,840,EA,P,20251110,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-04-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,34776,672,EA,P,20251117,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-05-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,35616,840,EA,P,20251124,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-06-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,36288,672,EA,P,20251201,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-07-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,38640,2352,EA,P,20251208,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-08-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,39816,1176,EA,P,20251215,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,N06-09-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,39816,0,EA,P,20251222,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P05-07-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,39816,0,EA,P,20251229,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P05-10-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,41160,1344,EA,P,20260105,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P05-10-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,42168,1008,EA,P,20260112,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P05-11-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,43344,1176,EA,P,20260119,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P05-12-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,44688,1344,EA,P,20260126,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-01-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,45696,1008,EA,P,20260202,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-02-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,46536,840,EA,P,20260209,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-03-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,47376,840,EA,P,20260216,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-04-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,48216,840,EA,P,20260223,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-05-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,49056,840,EA,P,20260302,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-06-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,49896,840,EA,P,20260309,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-07-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,50736,840,EA,P,20260316,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-08-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,51408,672,EA,P,20260323,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-09-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,52248,840,EA,P,20260330,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-10-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,53088,840,EA,P,20260406,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-11-N,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,53856,768,EA,P,20260413,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P06-12-R,SGWFF8,,,,,CHU,4604201,13440,20250101,20250511,19488,20250101,20250622,2504000027,1176,20250408,10752,20250101,20250408,53856,0,EA,P,20260420,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-01-N,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,1560,120,EA,P,20250421,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-02-R,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,1680,120,EA,P,20250428,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-03-N,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,1800,120,EA,P,20250505,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-04-R,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2040,240,EA,P,20250512,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-05-N,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2160,120,EA,P,20250519,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-06-R,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2400,240,EA,P,20250526,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-07-N,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2640,240,EA,P,20250602,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-08-R,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2760,120,EA,P,20250609,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-09-N,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,3000,240,EA,P,20250616,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,P07-09-R,SGWFF9,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,3120,120,EA,P,20250623,,,W
