830,Weekly Forecast,SenderID:,ZZ:F159B,ReceiverID:,ZZ:GUEUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interchange Control Num,Message Release Num,Message Release Date,Message Purpose,Schedule Type,Horizon Start Date,Horizon End Date,Comment Note,Ship To GSDB Code,Ship From GSDB Code,Intermediate Consignee,Part Num,Purchase Order Num,Part Release Status,Dock Code,Line Feed,Reserve Line Feed,Contact Name,Contact Telephone,Fab Auth Qty,Fab Auth Start Date,Fab Auth End Date,Mat Auth Qty,Mat Auth Start Date,Mat Auth End Date,Last Received ASN Num,Last Shipped Qty,Last Shipped Date,Cum Shipped Qty,Cum Start Date,Cum End Date,Forecast Cum Qty,Forecast Net Qty,UOM,Forecast Status,Forecast Date,Flexible Forcast Start Date,Flexible Forcast End Date,Forecast Date Qual'r
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11353-EW090-MC,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,101360,1540,EA,P,20260309,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11353-EW100,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,103040,1680,EA,P,20260316,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11353-EW100-CO,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,104580,1540,EA,P,20260323,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11353-EW100-FI,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,106260,1680,EA,P,20260330,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,11353-EW100-MC,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,107800,1540,EA,P,20260406,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,16333-EW020-C,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,109322,1522,EA,P,20260413,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,16333-EW020-CO,SGVYAT,,,,,CHU,4604201,30800,20250101,20250511,42280,20250101,20250622,2504000027,420,20250408,24920,20250101,20250408,109322,0,EA,P,20260420,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,16333-EW020-FI,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,1560,120,EA,P,20250421,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,16333-EW020-LK,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,1680,120,EA,P,20250428,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,16333-EW020-MC,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,1800,120,EA,P,20250505,,,W
25370,940-3,20250421,5,Ship,20250101,20260426, ,GK0VH,GUEUB,,17118-EW020,SGWCKR,,,,,CHU,4604201,1800,20250101,20250511,3000,20250101,20250622,2504000028,240,20250408,1440,20250101,20250408,2040,240,EA,P,20250512,,,W
